series_id        	year	period	       value	footnote_codes
PRS88003142      	2010	Q05	         1.2	
PRS88003142      	2011	Q01	         1.0	
PRS88003142      	2011	Q02	         2.8	
PRS88003142      	2011	Q03	         2.3	
PRS88003142      	2011	Q04	         0.5	
PRS88003142      	2011	Q05	         2.4	
PRS88003142      	2012	Q01	         2.4	
PRS88003142      	2012	Q02	         3.2	
PRS88003142      	2012	Q03	         2.4	
PRS88003142      	2012	Q04	         0.3	
PRS88003142      	2012	Q05	         2.1	
PRS88003142      	2013	Q01	         3.1	
PRS88003142      	2013	Q02	        -1.0	
PRS88003142      	2013	Q03	         0.8	
PRS88003142      	2013	Q04	         2.3	
PRS88003142      	2013	Q05	         1.4	
PRS88003142      	2014	Q01	         1.3	
PRS88003142      	2014	Q02	         4.0	
PRS88003142      	2014	Q03	         1.4	
PRS88003142      	2014	Q04	         0.1	
PRS88003142      	2014	Q05	         1.7	
PRS88003142      	2015	Q01	        -0.4	
PRS88003142      	2015	Q02	         2.1	
PRS88003142      	2015	Q03	         1.5	
PRS88003142      	2015	Q04	         0.1	
PRS88003142      	2015	Q05	         0.9	
PRS88003142      	2016	Q01	        -0.8	
PRS88003142      	2016	Q02	         2.3	
PRS88003142      	2016	Q03	         1.0	
PRS88003142      	2016	Q04	         1.8	
PRS88003142      	2016	Q05	         0.8	
PRS88003142      	2017	Q01	         2.4	
PRS88003142      	2017	Q02	         1.2	
PRS88003142      	2017	Q03	         2.0	
PRS88003142      	2017	Q04	         2.4	
PRS88003142      	2017	Q05	         1.8	
PRS88003142      	2018	Q01	         1.9	
PRS88003142      	2018	Q02	         3.2	
PRS88003142      	2018	Q03	         1.7	
PRS88003142      	2018	Q04	         1.9	
PRS88003142      	2018	Q05	         2.2	
PRS88003142      	2019	Q01	         1.7	
PRS88003142      	2019	Q02	         2.4	
PRS88003142      	2019	Q03	         1.6	
PRS88003142      	2019	Q04	         1.5	
PRS88003142      	2019	Q05	         1.9	
PRS88003142      	2020	Q01	         0.6	
PRS88003142      	2020	Q02	        -4.3	
PRS88003142      	2020	Q03	         4.8	
PRS88003143      	1995	Q01	      76.796	
PRS88003143      	1995	Q02	      76.859	
PRS88003143      	1995	Q03	      77.098	
PRS88003143      	1995	Q04	      77.139	
PRS88003143      	1995	Q05	      76.975	
PRS88003143      	1996	Q01	      77.346	
PRS88003143      	1996	Q02	      77.409	
PRS88003143      	1996	Q03	      77.161	
PRS88003143      	1996	Q04	      77.277	
PRS88003143      	1996	Q05	      77.297	
PRS88003143      	1997	Q01	      77.691	
PRS88003143      	1997	Q02	      77.634	
PRS88003143      	1997	Q03	      77.777	
PRS88003143      	1997	Q04	      77.808	
PRS88003143      	1997	Q05	      77.729	
PRS88003143      	1998	Q01	      77.758	
PRS88003143      	1998	Q02	      77.783	
PRS88003143      	1998	Q03	      78.056	
PRS88003143      	1998	Q04	      78.237	
PRS88003143      	1998	Q05	      77.963	
PRS88003143      	1999	Q01	      78.480	
PRS88003143      	1999	Q02	      78.609	
PRS88003143      	1999	Q03	      78.742	
PRS88003143      	1999	Q04	      78.907	
PRS88003143      	1999	Q05	      78.686	
PRS88003143      	2000	Q01	      79.320	
PRS88003143      	2000	Q02	      79.967	
PRS88003143      	2000	Q03	      80.347	
PRS88003143      	2000	Q04	      80.575	
PRS88003143      	2000	Q05	      80.053	
PRS88003143      	2001	Q01	      81.545	
PRS88003143      	2001	Q02	      81.510	
PRS88003143      	2001	Q03	      81.351	
PRS88003143      	2001	Q04	      81.252	
PRS88003143      	2001	Q05	      81.415	
PRS88003143      	2002	Q01	      81.278	
PRS88003143      	2002	Q02	      81.403	
PRS88003143      	2002	Q03	      81.752	
PRS88003143      	2002	Q04	      82.230	
PRS88003143      	2002	Q05	      81.668	
PRS88003143      	2003	Q01	      82.332	
PRS88003143      	2003	Q02	      82.346	
PRS88003143      	2003	Q03	      82.723	
PRS88003143      	2003	Q04	      82.949	
PRS88003143      	2003	Q05	      82.591	
PRS88003143      	2004	Q01	      83.369	
PRS88003143      	2004	Q02	      83.980	
PRS88003143      	2004	Q03	      84.254	
PRS88003143      	2004	Q04	      85.118	
PRS88003143      	2004	Q05	      84.186	
PRS88003143      	2005	Q01	      85.798	
PRS88003143      	2005	Q02	      86.558	
PRS88003143      	2005	Q03	      87.669	
